ticket,opening_time_utc,closing_time_utc,type,lots,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd
171698287,2021-04-15T02:39:03,2021-04-15T04:07:44,buy,0.1,GBPUSDm,1.37778,1.3769300000000002,0,1.37788,0,0,-8.5
171704473,2021-04-15T03:42:26,2021-04-15T03:54:06,buy,0.1,GBPUSDm,1.3772900000000001,1.3773700000000002,0,0,0,0,0.8
171696639,2021-04-15T02:18:03,2021-04-15T02:30:20,sell,0.1,XAUUSDm,1735.795,1735.549,0,1735.354,0,0,2.46
171696983,2021-04-15T02:22:44,2021-04-15T02:28:26,sell,0.1,XAUUSDm,1736.339,1736.2450000000001,0,1735.354,0,0,0.94
171694757,2021-04-15T02:00:19,2021-04-15T02:03:55,buy,0.1,XAUUSDm,1735.45,1735.609,0,0,0,0,1.59
171642097,2021-04-14T14:55:58,2021-04-14T14:56:58,sell,0.1,XAUUSDm,1738.5230000000001,1738.334,0,0,0,0,1.89
171629283,2021-04-14T14:11:53,2021-04-14T14:14:07,sell,0.1,BTCUSDm,63078.9,62883.66,0,62756,0,0,19.52
171623536,2021-04-14T13:49:13,2021-04-14T13:53:00,sell,0.1,NZDUSDm,0.71255,0.71216,0,0,0,0,3.9
171622036,2021-04-14T13:43:48,2021-04-14T13:44:33,buy,0.1,XAUUSDm,1738.515,1738.923,0,1739,0,0,4.08
171620528,2021-04-14T13:39:34,2021-04-14T13:42:12,buy,0.02,XAUUSDm,1738.227,1738.8410000000001,1734,1740,0,0,1.23
171620634,2021-04-14T13:39:56,2021-04-14T13:41:45,buy,0.02,XAUUSDm,1737.903,1739.045,1734,1740,0,0,2.28
171552874,2021-04-14T07:27:24,2021-04-14T07:32:19,buy,0.12,XAUUSDm,1744.9940000000001,1745.308,0,1746,0,0,3.77
171518002,2021-04-14T03:48:30,2021-04-14T06:11:11,sell,0.02,GBPCADm,1.7263000000000002,1.7283,1.7283,1.7255,0,0,-3.19
171491356,2021-04-14T02:02:05,2021-04-14T02:07:25,sell,0.15,NZDUSDm,0.7051400000000001,0.7048300000000001,0,0.7045,0,0,4.65
171490923,2021-04-14T01:59:50,2021-04-14T02:06:40,sell,0.05,NZDUSDm,0.70576,0.7053100000000001,0,0.704,0,0,2.25
171486752,2021-04-14T01:15:37,2021-04-14T01:28:29,sell,0.1,XAUUSDm,1747.117,1747.0420000000001,0,1746,0,0,0.75
171487389,2021-04-14T01:21:45,2021-04-14T01:28:24,sell,0.1,XAUUSDm,1747.213,1747.099,0,1746,0,0,1.14
171410581,2021-04-13T12:49:07,2021-04-13T12:53:16,sell,0.1,EURUSDm,1.1923400000000002,1.19242,0,0,0,0,-0.8
171410136,2021-04-13T12:48:22,2021-04-13T12:48:49,sell,0.1,XAUUSDm,1739.809,1739.7250000000001,0,0,0,0,0.84
171354984,2021-04-13T08:40:10,2021-04-13T08:46:28,sell,0.1,GBPNZDm,1.9550400000000001,1.9548800000000002,0,1.953,0,0,1.13
171273103,2021-04-13T02:07:46,2021-04-13T08:39:21,sell,0.02,GBPNZDm,1.95805,1.95555,1.962,1.95555,0,0,3.52
171354536,2021-04-13T08:37:18,2021-04-13T08:39:17,sell,0.1,GBPCHFm,1.2717900000000002,1.27176,0,0,0,0,0.32
171315917,2021-04-13T05:41:43,2021-04-13T06:36:22,buy,0.02,GBPCHFm,1.26984,1.27,1.2683,1.27,0,0,0.35
171297885,2021-04-13T03:42:57,2021-04-13T05:51:28,buy,0.11,GBPCHFm,1.26919,1.2696900000000002,1.2683,1.27,0,0,5.95
171297136,2021-04-13T03:37:29,2021-04-13T04:40:32,buy,0.11,GBPCHFm,1.26939,1.26966,0,1.27,0,0,3.21
171251792,2021-04-12T22:05:07,2021-04-13T02:24:20,sell,0.11,CADJPYm,87.027,87.16,87.3,86.8,0,0,-13.35
171268616,2021-04-13T01:50:14,2021-04-13T01:54:14,sell,0.11,XAUUSDm,1733.355,1733.126,0,1733,0,0,2.52
171263313,2021-04-13T01:12:11,2021-04-13T01:19:59,sell,0.11,XAUUSDm,1729.142,1728.855,0,1728,0,0,3.15
171234348,2021-04-12T16:55:26,2021-04-13T01:10:45,sell,0.01,CADJPYm,87.194,87.161,87.68,86.65,0,-0.02,0.3
